"nefolosire_internet","yhat"
0.07,83.2760915229885
0.6362,83.2743146436782
1.2024,83.1577784425287
1.7686,82.8132663390805
2.3348,82.7323552758621
2.901,82.6461296494253
3.4672,82.4680134195403
4.0334,81.0418314310345
4.5996,80.8688035747127
5.1658,80.8400272126437
5.732,80.760369362069
6.2982,80.7413983735632
6.8644,80.7481451666667
7.4306,80.6046823218391
7.9968,80.3312188793104
8.563,79.2563536034483
9.1292,78.4512612931034
9.6954,76.7712242701149
10.2616,76.1359071264367
10.8278,76.1185385632183
11.394,76.1060699425287
11.9602,76.0155904425287
12.5264,75.9268222701149
13.0926,75.844218867816
13.6588,75.834913913793
14.225,75.7788882701149
14.7912,75.7808512011494
15.3574,75.6968833333333
15.9236,75.4879141091954
16.4898,75.3807683045977
17.056,75.2232125229885
17.6222,75.1173320862069
18.1884,75.0968754827586
18.7546,74.7906167528735
19.3208,74.0324118448275
19.887,73.9549475574712
20.4532,73.7800225
21.0194,73.5363819367816
21.5856,73.4956510057471
22.1518,73.4939570057471
22.718,73.3989060574712
23.2842,73.3921579195402
23.8504,73.2622010057471
24.4166,73.2063100632184
24.9828,73.1655683505747
25.549,73.0732008620689
26.1152,72.6462857643678
26.6814,72.601808954023
27.2476,72.601808954023
27.8138,72.6041981954023
28.38,72.590740091954
