"Observat","Prezis"
79.9,77.7716109999998
81.17,84.133722
86.2,83.9569543333334
54.04,58.4076336666667
76.1,76.099126
79.48,82.1304119999999
92.09,90.9446240000002
94.68,92.9630373333334
68.98,72.2699473333333
77.69,83.7467056666667
82.51,81.9307216666667
78.93,75.0537243333332
77.88,75.190361
90.93,91.8148180000001
87.06,89.4440126666667
75.49,72.9085466666667
91.6,93.7362023333333
95.36,93.9812216666667
68.18,71.332551
56.7,66.8183699999999
68.81,71.5161273333333
91.42,91.4788506666667
74.17,73.9200936666666
56.85,60.2650443333333
