"model","N","countries","within_R2","adjusted_R2","hausman_chisq","hausman_p"
"Social media participation",159,29,0.633089293730213,0.532484745236884,19.5396502885931,0.00334298462988941
"Daily internet use",159,29,0.922508615343108,0.902050889793688,15.1791541079538,0.00962365078814102
