"country","year","participare_social_media","daily_internet_use","venit_mediu_gospodarie","gini","educatie_superioara","abilitati_digitale","nivel_acces_internet","nefolosire_internet"
"SE",2017,70.75,90.07,33955.8593296471,0.28183,41.9,77.2,94.73,2.25
"SE",2019,72.22,91.42,36483.1805864235,0.277,44,72.42,96.06,1.81
"SE",2021,71.51,92.03,40040.8923080433,0.286,46.6,66.6,93.23,1.37
"SI",2017,45.16,68.25,24619.8188800839,0.242699280381203,32.5,54,81.74,17.62
"SI",2019,52.09,74.17,28917.0499708177,0.245734617114067,33.3,55.13,88.96,13
"SI",2021,63.61,84.75,33094.542881846,0.24060794711113,40.3,49.67,93.04,7.82
"SK",2017,58.74,69.37,15328.3880676707,0.219974979758263,23.1,59.01,81.33,14.04
"SK",2019,59.24,75.76,17646.958132967,0.222391024231911,25.8,53.87,82.19,11.71
"SK",2021,64.58,80.01,19577.3487502653,0.216635778546333,27.9,55.18,89.96,7.75
"TR",2017,54.14,56.85,14273.5675200855,0.409403,18.6,34.11,80.74,33.15
"TR",2019,60.18,67.18,15440.9667055209,0.414758,20.5,35.81,88.3,24.66
"TR",2021,60.08,76.51,16513.0311205389,0.433142,23,30.12,91.98,17.37
"UK",2017,71.22,85.12,29079.1375986976,0.357,42.7,70.55,93.99,3.9
"UK",2019,73.13,91.46,33029.1684224794,0.366,44.7,73.89,95.85,3.17
